Rank,Player,REC,Week,Year,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G, FPTS,FPTS/G,ROST,YBC,YBC/R,AIR,AIR/R,YAC,YAC/R,YACON,YACON/R,BRKTKL,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
1,Mark Andrews,107,18,2021,153,"1,361",12.7,43,27,9,1,0,0,0,17,247.6,14.6,100.0%,903,8.4,903,8.4,458,4.3,187,1.7,4,25.8%,110,3,20,61,20,5,2,0,43
2,Travis Kelce,92,18,2021,134,"1,125",12.2,69,20,9,2,3,1,1,16,216.8,13.6,100.0%,561,6.1,561,6.1,564,6.1,248,2.7,8,21.0%,102,10,16,50,13,4,2,1,69
3,Dalton Schultz,78,18,2021,104,808,10.4,32,8,8,0,0,0,0,17,169.8,10.0,86.8%,460,5.9,460,5.9,348,4.5,109,1.4,3,16.3%,82,4,14,38,6,2,0,0,32
4,George Kittle,71,18,2021,94,910,12.8,48,17,6,3,20,0,1,14,162.5,11.6,98.9%,460,6.5,460,6.5,450,6.3,179,2.5,8,18.8%,76,2,9,38,13,3,1,0,48
5,Zach Ertz,74,18,2021,112,763,10.3,47,9,5,1,4,0,0,17,143.7,8.5,93.8%,423,5.7,423,5.7,340,4.6,74,1.0,2,23.9%,82,6,20,33,7,1,1,0,47
6,Rob Gronkowski,55,18,2021,88,802,14.6,42,20,6,0,0,0,0,12,143.7,12.0,1.7%,452,8.2,452,8.2,350,6.4,147,2.7,9,12.3%,62,5,10,35,16,3,1,0,42
7,Kyle Pitts,68,18,2021,110,"1,026",15.1,61,25,1,0,0,0,0,17,142.6,8.4,98.9%,713,10.5,713,10.5,313,4.6,137,2.0,3,19.9%,77,6,14,41,16,6,2,1,61
8,Dawson Knox,49,18,2021,71,587,12.0,53,14,9,0,4,0,0,15,139.6,9.3,78.8%,310,6.3,310,6.3,277,5.7,63,1.3,3,11.4%,53,4,18,24,8,3,2,1,53
9,Hunter Henry,50,18,2021,75,603,12.1,35,12,9,0,0,0,0,16,139.3,8.7,41.9%,459,9.2,459,9.2,144,2.9,41,0.8,1,14.3%,50,0,17,25,8,4,0,0,35
10,Dallas Goedert,56,18,2021,76,830,14.8,45,18,4,0,0,0,0,15,137.0,9.1,95.6%,444,7.9,444,7.9,386,6.9,101,1.8,9,16.2%,63,5,6,39,14,3,1,0,45
11,Mike Gesicki,73,18,2021,112,780,10.7,40,15,2,0,0,0,0,17,128.5,7.6,39.7%,559,7.7,559,7.7,221,3.0,69,0.9,1,18.7%,79,3,9,29,12,2,1,0,40
12,Noah Fant,68,18,2021,90,670,9.9,35,9,4,0,0,0,0,16,125.0,7.8,22.8%,361,5.3,361,5.3,309,4.5,53,0.8,1,17.4%,71,2,12,25,7,2,0,0,35
13,Pat Freiermuth,60,18,2021,79,497,8.3,24,2,7,0,0,0,1,16,121.7,7.6,89.2%,250,4.2,250,4.2,247,4.1,117,2.0,8,12.1%,62,2,20,21,2,0,0,0,24
14,Tyler Higbee,61,18,2021,85,560,9.2,37,4,5,0,0,0,0,15,116.5,7.8,84.2%,279,4.6,279,4.6,281,4.6,78,1.3,1,14.1%,64,3,18,24,3,1,0,0,37
15,T.J. Hockenson,61,18,2021,84,583,9.6,33,9,4,0,0,0,0,12,114.8,9.6,94.0%,384,6.3,384,6.3,199,3.3,56,0.9,4,14.8%,62,1,9,24,8,1,0,0,33
16,Jared Cook,48,18,2021,83,564,11.8,42,9,4,0,0,0,0,16,108.4,6.8,0.0%,326,6.8,326,6.8,238,5.0,62,1.3,0,12.6%,56,6,13,28,7,1,1,0,42
17,Tyler Conklin,61,18,2021,87,593,9.7,40,7,3,0,0,0,0,17,107.8,6.3,39.6%,266,4.4,266,4.4,327,5.4,63,1.0,0,15.1%,64,3,16,23,4,2,1,0,40
18,Darren Waller,55,18,2021,93,665,12.1,33,15,2,0,0,0,0,11,106.0,9.6,99.8%,423,7.7,423,7.7,242,4.4,80,1.5,3,15.4%,60,5,13,27,13,2,0,0,33
19,C.J. Uzomah,49,18,2021,63,493,10.1,55,13,5,0,0,0,0,16,103.8,6.5,0.8%,193,3.9,193,3.9,300,6.1,108,2.2,5,11.7%,54,4,7,17,7,4,1,1,55
20,Gerald Everett,48,18,2021,63,478,10.0,41,8,4,3,20,0,2,15,93.8,6.3,65.2%,229,4.8,229,4.8,249,5.2,108,2.3,9,13.2%,51,3,8,19,5,2,1,0,41
21,Cole Kmet,60,18,2021,93,612,10.2,25,7,0,1,0,0,0,17,91.2,5.4,39.8%,366,6.1,366,6.1,246,4.1,97,1.6,4,17.7%,67,5,12,31,7,0,0,0,25
22,David Njoku,36,18,2021,53,475,13.2,71,15,4,1,1,0,0,15,89.6,6.0,66.7%,228,6.3,228,6.3,247,6.9,106,2.9,2,10.6%,39,2,8,15,8,4,2,1,71
23,Evan Engram,46,18,2021,73,408,8.9,30,3,3,1,-3,0,1,15,79.5,5.3,24.1%,225,4.9,225,4.9,183,4.0,33,0.7,0,12.9%,53,6,4,16,2,1,0,0,30
24,Austin Hooper,38,18,2021,61,345,9.1,34,5,3,0,0,0,0,15,73.5,4.9,17.2%,160,4.2,160,4.2,185,4.9,35,0.9,1,12.2%,44,6,11,13,4,1,0,0,34
25,Foster Moreau,30,18,2021,44,373,12.4,44,9,3,0,0,0,0,15,70.3,4.7,0.2%,184,6.1,184,6.1,189,6.3,63,2.1,2,7.3%,35,4,5,16,6,2,1,0,44
26,Mo Alie-Cox,24,18,2021,45,316,13.2,37,6,4,0,0,0,0,17,67.6,4.0,3.5%,166,6.9,166,6.9,150,6.3,61,2.5,2,8.9%,26,2,9,12,5,1,0,0,37
27,Jack Doyle,29,18,2021,43,302,10.4,34,4,3,0,0,0,0,15,64.7,4.3,2.0%,177,6.1,177,6.1,125,4.3,14,0.5,0,8.5%,33,4,7,15,3,1,0,0,34
